Id,Title,Author,Year,Pages,Genre,Finished,Rating
1,The Glass Empire,Lena Marković,2019,472,Fantasy,yes,4.6
2,Shadows in Silicon,Evan Chen,2021,388,Software,no,3.9
3,Echoes of the Tides,Haruto Sakamoto,2008,312,Romance,yes,4.2
4,The Quantum Horizon,Rachel D’Souza,2017,521,Sci-Fi,y,4.8
5,Blood and Marble,Giovanni Moretti,1998,654,History,n,4.0
6,Midnight Syntax,Anya Patel,2023,290,Software,yes,4.4
7,The Forgotten Heir,Thomas Greenfield,2011,423,Mystery,yes,3.7
8,Under Crimson Moons,Sofia Alvarez,2003,501,Fantasy,y,4.5
9,Codebreaker’s Dilemma,Marcus Hollis,2015,365,Software,n,3.8
10,A Kingdom in Ash,Vera Nilsson,2009,734,Fantasy,yes,4.1
11,Dust Beneath the Stars,Ahmed Khalil,2020,579,Sci-Fi,yes,4.9
12,Letters from the Highlands,Clara MacLeod,1986,276,Romance,y,3.5
13,Algorithms of Empire,Daniel Ionescu,2018,412,Software,n,4.2
14,The Secret Ledger,Julien Martin,2007,398,Mystery,yes,4.0
15,Rise of the Iron Republic,Tobias Becker,2016,688,Sci-Fi,yes,4.7
16,Echoes of a Distant War,Marie Fontaine,1992,553,History,no,3.9
17,A Study in Ciphers,Lydia Cooper,2013,333,Mystery,y,4.1
18,The Emperor’s Alchemist,Hassan Al-Fayed,2001,621,Fantasy,yes,4.3
19,Lost Frequencies,Isabella Costa,2022,247,Sci-Fi,no,3.6
20,When We Were Letters,Ella Novak,2010,294,Romance,y,4.4
21,Machine Souls,Rajiv Malhotra,2024,460,Software,yes,4.8
22,The Mapmaker’s Secret,Henry Doyle,1984,532,History,n,3.7
23,Dreams of the Electric Heart,Yuki Nakamura,2019,501,Sci-Fi,yes,4.9
24,Garden of the Silent,Beatriz Romero,1995,307,Mystery,no,3.5
25,The Last Kingdom of Glass,Nora Feldman,2020,641,Fantasy,y,4.7
26,Bittersweet Algorithm,Peter Nguyen,2021,259,Software,yes,4.5
27,Letters to the Fallen Star,Natalie Ruiz,2005,372,Romance,n,4.0
28,Chronicles of the White Sea,Jonas Eriksen,2018,729,Fantasy,yes,4.6
29,Silent Voltage,Maya Deshmukh,2022,341,Software,y,4.3
30,The Shadow Archivist,Oliver Brandt,2011,456,Mystery,yes,4.2
